cuando|etapa|decision|por_que|evidencia|resultado
2026-09-05T02:05:00Z|Diseno|umbral de edad del ref = 86400 s (1d) medido con mtime del ref loose origin/master (git rev-parse --git-path); si no hay loose, %ct de origin/master; NUNCA FETCH_HEAD; override SAIKIT_REF_EDAD_MAX_S|--check afirma vivo == origin/master local; esa afirmacion solo es tan fresca como el ref. FETCH_HEAD mide el ultimo fetch, no la edad del ref: un fetch fresco tapaba un origin/master podrido. Un dia = pull-luego-check en la misma sesion de deploy. 7d bendice una semana de ref podrido. 1h flakea sesiones largas|C14: touch -t 202001010000 en el loose + SAIKIT_REF_EDAD_MAX_S=1 => rc=1 origen=ref-mtime ref-excede-edad; C16: FETCH_HEAD fresco + ref viejo sigue en 1; mutacion que prefiere FETCH_HEAD => C16 verde; C15 dry-run mismo ref sale 0|ok
2026-09-05T02:08:00Z|Diseno|observacion ausente / ilegible / parse-fail / ok mapea a tokens falta-registro / no-observable / ok (ausente=falta-registro; ilegible y parse-fail=no-observable)|el mapa deja un solo punto de mutacion para tratar ausencia como no-fallo; no-observable no es el token de ausente|C12: cuatro copias al-dia + stubs claude/grok/dsh sin hooks.json de codex => rc=1 registro=falta-registro causa registro-codex-falta-registro; mutacion ausente->ok => C12 verde|ok
2026-09-05T02:08:00Z|Decision|--check no llama a check-hook-registration.sh; inspector propio, parse barato (json primer byte no-blanco { o [; yml no vacio + summonaikit)|el verificador advisory es fail-open y emite unknown (C11 lo prohibe); un interprete python ausente volveria no-observable permanente|C12 falla por el inspector; ningun test de --check invoca el checker; el bloque CHECK no llama al verificador|ok
2026-09-05T02:08:00Z|Decision|[ -L ] en dest => no-observable antes de -e/-f/cmp; -f sigue el enlace y un symlink a los mismos bytes pasaba al-dia|cierre barato del hueco DoD; no se cierra symlink del archivo de registro (fuera de alcance)|C13: dest symlink a la fuente => resultado=no-observable rc=1; mutacion [ -L ] a [ ! -L ] => C13 verde|ok
2026-09-05T02:08:00Z|Limite|--check --host N no es el conjunto: emite y juzga solo esa copia (C8). Un --check verde de un host no afirma las otras tres|achicar el conjunto fue el incidente 2026-09-04; el flag existe para diagnostico, no para el deploy completo|C8: --check --host grok no emite fila claude y sale 0 con solo grok al-dia|declarado
2026-09-05T02:08:00Z|Limite|el deploy-log sigue con corte/preambulo: entradas anteriores a CORTE 2026-09-04 son abuelo y no se juzgan; el log juzgado es un prefijo newest-first|reescribir el historico falsificaria el log; 18.21 no toca check-deploy-log.sh|tools/check-deploy-log.sh: CORTE + reglas norma/orden/prefijo/unico|declarado
2026-09-05T02:08:00Z|Limite|un registro por PR = unicidad de encabezado juzgado, no un registro por host ni por deploy|el checker del deploy-log ya lo exige (duplicado = rojo); 18.21 no lo reabre ni lo mueve al instalador|check-deploy-log.sh: unico / duplicado PR|declarado
2026-09-05T02:32:00Z|Diseno|--check fail-closed si PROC_CONOCIDA=1 y PROC_EDAD_S no es solo digitos, o si SAIKIT_REF_EDAD_MAX_S no es solo digitos: causa edad-no-observable|_fallo abierto cuando la edad no se puede leer dejaba --check verde con un reloj roto; el umbral no numerico hacia que [ n -gt no ] fallara y se tragaba el check|C17: SAIKIT_REF_EDAD_MAX_S=no + repo fresco => rc=1 edad-no-observable; mutacion return 0 antes del umbral => C17 verde|ok
2026-09-05T02:33:00Z|Diseno|restaurar_desde_backup vive en tools/lib/restaurar_desde_backup.sh; install-hook la sourcea desde $here/lib/; no hay early-exit de produccion por SAIKIT_TEST_RESTAURAR_BAK|un env de test que abortaba el main del instalador era una puerta en produccion; R1/R2 sourcean la lib y llaman la funcion. SAIKIT_RESTORE_ABORT=1 queda adentro como costura de R2|R1/R2 llaman la lib; mutacion cp en la lib => R2 rojo (DEST pisado); ningun test exporta SAIKIT_TEST_RESTAURAR_BAK|ok
2026-09-05T05:50:00Z|Fix|restaurar_desde_backup usa cp -p al temporal (no chmod --reference): mktemp crea 0600 y cp sin -p deja el hook no ejecutable tras rollback|medido: bak 0755 => dest 0600; el host no puede correr el gate|R1 afirma modo; mutacion cp-sin-p => dest 600 != bak 755|ok
