cuando|etapa|decision|por_que|evidencia|resultado
2026-09-05T19:45:00Z|Diseno|ancla de linea en has_receipt_label: ^[[:space:]]*(-[[:space:]]+)?(\*\*|__)? delante de la etiqueta (vineta o negrita permitidas, como hoy); frase canonica 'each receipt label opens its own paragraph' repetida en los DOS bloques del contrato (harness_context :~1352 y build_gate_feedback :~2627, la trampa 18.13) y en los 7 mensajes de falta; literales ya testeados preservados ('followed by a COLON', 'copying that dash into the receipt', seis lineas peladas en su sitio)|la fila 18.23 pide que el gate exija la etiqueta al inicio de su linea y que el mensaje nombre la regla; la frase unica evita que los dos bloques deriven|caso_g4_recibo_en_un_parrafo_bloquea rojo medido pre-fix (exit 0 observado: el recibo pegado cerraba); verde post-fix 235 casos; mut_ancla_de_linea_quitada atrapada|ok
2026-09-05T19:45:00Z|Decision|las mutaciones mut_etiqueta_sin_frontera y mut_frontera_acepta_comillas se reemplazan por UNA mut_ancla_de_linea_quitada (sed del prefijo anclado a '(^|.)')|con el ancla, la frontera izquierda y el ancla colapsan en un solo concepto: quitar el ancla ES volver a aceptar la etiqueta en cualquier posicion; los seds viejos apuntaban a un literal que dejo de existir y la guardia 2 de la bateria los reventaria; la proteccion C11 (cita entre comillas) pasa a ser estructural: una cita nunca empieza la linea|SAIKIT_MUTACIONES acotada: las tres mutaciones tocadas atrapadas (ancla -> etiqueta_pegada/cita/un_parrafo; bold -> recibo_bold_pasa; retro -> incidental_roto); test_gate_mutations_guards OK con catalogo de 130|ok
2026-09-05T19:45:00Z|Decision|los matchers de ROLE FALLBACK y VERIFIED BY SUBAGENT quedan substring libre: su 'mismo trato' vive en el TEXTO del contrato (alcance (i) de la fila), no en el gate|los fixtures de Tasks 13.5/14.2 llevan esos labels a mitad de linea tras 'Verify:'/'Close:'; anclarlos romperia ~25 casos G2/G3 y reabriria mecanicas documentadas (span de saikit_verif_spans lee la MISMA linea)|grep de _RECIBO_VERIF_SUBAGENTE_* en gate_cases.sh: todos con el label tras 'Verify: ' y cierra limpio en la bateria verde|ok
2026-09-05T19:45:00Z|Decision|la linea en blanco entre parrafos NO se parsea: limite declarado de la fila|los hosts colapsan espacios en blanco de forma distinta; exigirla seria fragil; la regla se AFIRMA en el contrato (ambos bloques) y en caso_g1_contrato_muestra_forma_recibo|comentario del hook con el limite declarado; hallazgo bajo del adversary: falta caso que fije el limite -> arreglo planeado (caso de lineas consecutivas)|ok-con-seguimiento
2026-09-05T19:45:00Z|Golden|regrabada DESPUES del ultimo cambio al hook (6d6ed58), con el vivo sincronizado a la rama antes (bash tools/install-hook.sh: respaldo .nuestro.20260905-121157.bak, procedencia rama/sha declarada)|la fila exige orden regrabado-tras-ultimo-cambio (lecciones 18.6) y vivo al dia con la rama|--check exit 0 con 55 escenarios; auditoria hunk a hunk: 50/55 escenarios movidos imprimen contrato (bloque 1 en pasos de armado, bloque 2 + mensajes en bloqueos) y los 5 sin mover (01/17/27/35 sin armar, 44 reglas codex) no lo imprimen; 0 cambios de exit code o estado|ok
2026-09-05T19:45:00Z|Declaracion|limite de la auditoria de golden del lead: comparo exit codes y vocabulario de lineas, insuficiente para codex cuyo BLOQUEO tambien sale con exit 0; el flip de decision del escenario 31 (cierre limpio -> block con estado vivo) quedo absorbido por la regrabada y lo hallo el adversary|auditorias de golden de hosts con bloqueo-exit-0 tienen que comparar la DECISION por paso, no solo el exit code|hallazgo alto del adversary confirmado por el lead: diff de baselines HEAD~1 vs HEAD en escenario 31 paso 05 ('stdout <vacio> / sin estado' -> decision:block con 6 faltantes y estado vivo)|hallado
2026-09-05T19:45:00Z|Adversary|3 hallazgos: ALTO falso bloqueo de recibo honesto en codex (last_assistant_message con \\n doble: el decodificador A8 de una capa lo deja plano y el ancla tumba las seis), MEDIO el contrato promete 'a bullet' pero la regex solo acepta guion (*/+/anidada/blockquote bloquean), BAJO el limite de lineas consecutivas no tiene caso que lo fije. Plan de arreglo del lead: tratar la '\n' LITERAL como frontera de linea DENTRO de has_receipt_label (el decodificador compartido queda intacto: blast radius minimo), ensanchar la vineta a [-*+], agregar caso de lineas consecutivas y caso codex doble-escape FUERA de la golden, y regrabar la golden con auditoria por DECISION|el arreglo en el matcher es quirurgico y restaura la aceptacion pre-fila del host real (codex-cli 0.147.0, fixture 31 capturado del binario); tocar el decodificador compartido cambiaria $text para todos los gates|repro del adversary en vivo con siembra bajo project-key codex ('simple rc=0 faltan=0' vs 'doble rc=0 faltan=6 block'); diff de baselines del lead; adjudicacion del reviewer pendiente al cierre de esta fila|pendiente
2026-09-05T20:55:00Z|Adjudicacion|reviewer ronda 1: hallazgo ALTO (falso bloqueo codex) y MEDIO (contrato promete mas vietas de las que la regex acepta) en cubo Act on/Accepted; hallazgo BAJO (limite de lineas consecutivas sin caso) Dismissed — caso_g4_recibo_corrido_pasa_a8 ya lo fija; blast Noted (real pero acotado: su pata golden compara contra la baseline que esta rama regrababa)|la adjudicacion es del reviewer con verificacion propia (od -c del fixture 31, trace del decodificador awk, matrix de decoraciones re-corrida); el lead confirmo el ALTO con diff de baselines|reporte del reviewer en el turno; diff de baselines del lead en escenario 31 paso 05|ok
2026-09-05T20:55:00Z|Decision|arreglo del ALTO por ALTERNANCIA en el matcher: (^|\\n) delante del prefijo anclado — la '\n' LITERAL (backslash+n) es frontera de linea porque es la forma de transporte real del host codex (fixture 31, codex-cli 0.147.0); el decodificador compartido queda INTACTO (exigencia del reviewer: cambiar su semantica movia $text de pausa/roles/spans, ~25 casos G2/G3); el recibo pegado con ESPACIOS sigue bloqueando; residual declarado: recibo citado con \n literales indistinguible de la forma codex (misma postura advisory de la cita del template)|fix quirurgico de blast radius minimo; el caso nuevo caso_g4_recibo_codex_escape_doble_cierra (siembra bajo state/codex/) es el seguro estructural para que un flip asi no vuelva a ser absorbido por una regrabada|rojo medido pre-fix del caso codex (decision:block + estado vivo); verde post-fix 237 casos|ok
2026-09-05T20:55:00Z|Decision|vineta ensanchada a [-*+] y los DOS bloques del contrato nombran exacto: 'A hyphen '-', asterisk '*' or plus '+' bullet, or markdown bold ... counts; a blockquote ('>'), a nested bullet and a bullet without a space ('-Label:') do not' — texto y regex vuelven a decir lo mismo (la clase mensaje-vs-codigo que la fila venia a cerrar); caso caso_g4_recibo_vineta_asterisco_pasa fija la vineta *|hallazgo MEDIO sostenido: 'COMO HOY' de la fila incluia */+ y el contrato de esta misma fila los prometia|rojo medido pre-fix (exit 2 con vineta asterisco); regex probada contra 12 formas en runtime|ok
