cuando|etapa|decision|por_que|evidencia|resultado
2026-09-05T20:00:00Z|Decision|conclusion skipped (PR completed) = CI rojo; el texto interpola $conc; no slogan «CI skipped»; no colapsa a sin checks (n>0)|path-filter skip = no evidencia de verde = fail-closed, mismo balde que cancelled/neutral/timed_out|caso ci_skipped_es_rojo + mutacion skipped_es_verde|ok
2026-09-05T20:00:00Z|Decision|solo-push completed+success = verde; hay_pr=0 juzga todos los runs|exigir evento pull_request seria politica nueva y romperia heads que solo dispararon push; el generador emite ambos eventos|caso solo_push_success_es_verde + mutacion solo_push_exige_pr|ok
2026-09-05T20:00:00Z|Deuda|PIN_*_SHA no se refresca en esta fila; camino tools/bump-ci-pins.sh (tag → sha por API, PR) o dependabot sobre los dos uses:|el comentario # v5.6.0 no mueve el sha; implementar el bump script es alcance hinchado; quality.yml de ESTE repo sigue en tags|comentario DEUDA en tools/saikit-ci-minimo.sh|declarado
2026-09-05T20:00:00Z|Diseno|clasif_verify SOLO_MD (solo markdown o vacio bajo verify/) omite el paso verify/ y lo dice; AUSENTE emite echo+exit 0; TIENE emite verify_cmd_from(test_cmd)|DoD admite omitir; find-as-success (cualquier archivo) era el hueco; verify_cmd_from es pura, no re-detecta|caso verify_leeme_no_enciende_verde + mutacion verify_vuelve_a_find|ok
2026-09-05T20:00:00Z|Diseno|sin runner (vacio / Makefile / Cargo.toml / package.json sin scripts.test real) = exit 2, sin YAML; invierte el fallback de #185|detectar_test_cmd vacio es ilegal; inventar bash tests/run.sh nace 127 bajo el veto|casos sin_runner_exit_2 + npm_real_no_mira_fuera_de_scripts invertido + mutacion fallback_eterno|ok
2026-09-05T20:00:00Z|Diseno|pytest emite actions/setup-python@a26af69be951a213d495a4c3e4e4022e16d87065 (# v5.6.0) + python-version 3.12 + pip install (requirements.txt o pytest)|sin toolchain el YAML nace rojo en Actions; pin de 40 hex, no tag flotante; 3.12 fijo porque ubuntu-24.04 ya esta amarrado|caso pytest_toolchain_en_yaml + mutacion sin_setup_python|ok
2026-09-05T20:00:00Z|Decision|saikit-verificar-app: un verify/ que solo tiene LEEME.md ya no enciende verde; el mapa de la skill no es un check|el skill contract no se edita en esta fila; SOLO_MD omite el paso (o seria rojo si se emitiera find)|caso verify_leeme_no_enciende_verde; skill intacta|declarado
2026-09-05T21:15:00Z|Fix|pnpm emite setup-node@49933ea5288caeca8642d1e84afbd3f7d6820020 (# v4.4.0) + node-version 20 + corepack enable antes de pnpm install|ubuntu-24.04 trae npm/yarn, no pnpm; mismo hueco (a) en otra toolchain (adversary F1)|caso pnpm_lock_emite_pnpm + mutacion sin_setup_node_pnpm|ok
2026-09-05T21:15:00Z|Fix|pytest con requirements.txt instala -r requirements.txt Y pytest|requirements sin pytest hacia nacer rojo el job (adversary F2)|caso pytest_toolchain_en_yaml + mutacion pip_sin_pytest_extra|ok
2026-09-05T21:15:00Z|Fix|caso verify_tiene_emite_mapa + mutacion tiene_omite_verify (clasif TIENE→SOLO_MD)|TIENE omitida dejaba la suite verde; afirma_run_reales no exigia el paso (adversary F3)|caso + mutacion|ok
2026-09-05T21:15:00Z|Decision|setup degrada si ci-minimo sale 2: avisa y sigue (JSON ya escrito); no exit 2 del setup|sin degradar, --ci-minimo si + sin runner deja config persistida y setup fallido a mitad (adversary F4)|caso setup_sin_runner_degrada + mutacion setup_propaga_exit2|ok
2026-09-05T21:15:00Z|Fix|clasif_verify usa -iname '*.md' (LEEME.MD = SOLO_MD)|find -name era case-sensitive; mapa mayuscula caia en TIENE (adversary F5)|caso verify_leeme_md_mayusculas_omite + mutacion leeme_md_case_sensitive|ok
2026-09-05T21:15:00Z|Dismiss|F6 skipped/solo-push pasan contra master: DoD pedia casos+decision, no cambio de conducta|adjudicacion lead ronda 1; conducta ya era la decidida|cross-review ronda 1|dismissed
